#{"t_start": 1779068000.972277, "env_id": "None"}
r,l,t
0.140052,7,13.588833
-0.659884,11,13.642497
-0.653171,3,13.657949
0.000656,2,13.669508
-0.01,1,13.675093
-0.01,1,13.682078
-0.004757,5,13.707229
-0.01,1,13.714165
-0.443745,4,13.732416
-0.332242,4,13.756127
-0.365847,3,13.769455
0.203536,5,13.795457
-0.324967,4,13.814765
-0.975524,6,13.845188
-0.632079,19,13.936428
0.079415,4,13.958007
-0.208891,4,13.977863
-0.309377,3,13.994479
-0.754013,39,14.179094
0.057988,3,14.194384
0.092006,3,14.210059
-0.878698,18,14.296143
0.010223,2,14.307219
-0.555455,3,14.321954
-0.451475,5,14.344742
-0.610132,6,14.374086
0.073115,2,14.386393
-0.725581,5,14.410904
-0.01,1,14.416711
0.055458,3,14.435258
-0.258086,8,14.477011
-0.974042,12,14.53483
0.035239,3,14.551144
0.024656,3,14.570106
-0.181124,6,14.599484
-0.745871,5,14.622368
-0.73592,7,14.654902
-0.01,1,14.661698
-1.011364,22,14.767531
0.004521,2,14.778254
-0.016,2,14.789331
-0.679249,5,14.813572
-0.451879,8,14.852399
-0.01,1,14.857786
-0.277321,8,14.898522
0.00592,3,14.916534
0.190776,6,14.951075
-0.01,1,14.956795
-0.206249,11,15.016119
-0.016,2,15.028029
0.171793,3,15.0445
-0.01,1,15.049938
-0.259481,4,15.0704
-0.424709,8,15.111254
-0.502516,9,15.155009
0.160948,3,15.171613
-0.51384,11,15.225796
-0.307214,9,15.26931
-0.707288,7,15.302488
0.053612,2,15.312251
-0.01,1,15.31862
-0.428197,3,15.332639
0.319231,3,15.348017
-0.529205,12,15.404442
-0.01,1,15.409822
-0.273137,5,15.4365
0.020263,3,15.450704
-0.606824,2,15.460691
-0.01,1,15.465995
-0.345364,4,15.48723
-0.547672,4,15.507285
-0.818329,8,15.544634
-1.030642,22,15.647116
0.044964,2,15.658342
-0.01,1,15.663715
0.0321,4,15.685599
0.172084,5,15.714871
-0.668404,4,15.736117
-0.01,1,15.741971
-0.016,2,15.751901
-1.268436,16,15.826777
0.04433,3,15.845538
0.120966,4,15.867902
-0.540506,2,15.878892
0.019258,2,15.889547
-0.01,1,15.897702
-0.01,1,15.904716
-0.660074,21,16.003038
0.033832,2,16.012852
-0.01,1,16.020754
-0.489141,11,16.072786
-0.005012,3,16.089343
0.084435,4,16.111704
-0.016,2,16.124548
0.164256,2,16.134842
-0.452575,9,16.180281
-0.274972,5,16.207227
-0.266194,4,16.228795
-0.006652,5,16.253323
-0.390145,8,16.291396
-0.515472,9,16.335249
0.064928,8,16.377533
-0.405518,3,16.392473
-0.432143,7,16.427399
-0.571979,13,16.489285
-0.74776,29,16.634562
-0.004683,12,16.695271
0.032317,2,16.706658
0.062529,4,16.728407
0.129581,8,16.769036
-0.01,1,16.774415
-0.426369,3,16.788044
0.036478,2,16.797885
0.071675,5,16.82478
-0.204962,4,16.844472
-0.466748,3,16.859675
-0.498911,6,16.888732
0.106061,8,16.932134
-0.163545,5,16.956191
-0.01,1,16.961578
0.154838,7,16.995818
-0.323627,13,17.058345
-0.01,1,17.063709
-0.221086,10,17.11181
-0.016,2,17.121698
0.330003,5,17.151302
-0.01,1,17.156792
-0.288387,13,17.220798
-0.292009,7,17.25576
-1.044204,15,17.325164
0.001674,2,17.336627
-0.682737,16,17.413568
0.026176,4,17.433657
0.137459,5,17.461155
-0.699027,7,17.493364
-0.646758,3,17.508267
0.003026,3,17.524068
-0.633801,19,17.617396
0.006297,2,17.628601
0.05081,3,17.644539
-0.366605,6,17.673392
-0.451439,2,17.684871
0.001448,3,17.699263
-0.000472,2,17.710359
-0.730316,10,17.756547
-0.515851,18,17.842073
-0.56924,22,17.948954
-0.700752,9,17.993256
-0.521187,9,18.035217
-0.01,1,18.042122
0.207623,5,18.068199
0.033178,4,18.088265
-0.01,1,18.094883
0.112057,2,18.106266
-0.098883,12,18.163209
-0.567846,2,18.174441
-0.105218,7,18.206779
-0.312371,5,18.233336
-0.453895,3,18.24678
0.007332,3,18.262074
-0.016,2,18.274473
-0.01,1,18.28139
0.214574,6,18.309826
-0.577627,11,18.36305
0.115471,4,18.384798
0.197614,3,18.402229
-0.219872,15,18.473767
-0.01,1,18.480197
-0.01,1,18.485616
0.141049,7,18.522433
-0.723565,10,18.569047
0.154384,5,18.595846
-0.696202,5,18.618203
0.156872,5,18.644064
-0.01,1,18.649476
-0.000352,3,18.665214
-0.450749,2,18.675681
-0.34116,4,18.697571
-0.570943,2,18.706917
-0.194122,6,18.73711
-0.441926,2,18.746167
0.099193,8,18.788306
-0.777901,29,18.926861
-0.308484,5,18.952497
-0.69804,6,18.980177
0.033952,9,19.025316
-0.389421,3,19.039921
-0.532156,5,19.063136
-1.107439,26,19.189633
-0.128175,13,19.256602
-0.608471,6,19.285088
-0.854455,6,19.312323
-0.386173,25,19.434782
-0.268636,5,19.461207
-0.271065,9,19.50711
-0.000504,3,19.523105
-0.016,2,19.533257
0.306681,5,19.560114
-0.781176,5,19.584391
-0.220695,5,19.609223
-0.01,1,19.614719
-0.25362,7,19.652012
-0.912584,7,19.683393
0.113124,3,19.697497
-0.01,1,19.704151
-0.01,1,19.712394
-0.01,1,19.717784
0.027512,2,19.72908
-0.01,1,19.734756
-0.198239,3,19.751462
0.013104,2,19.7614
0.040629,2,19.772569
-0.01,1,19.777988
-0.354268,5,19.803599
0.028224,2,19.816024
-0.399557,16,19.893882
0.026523,3,19.908736
-0.01,1,19.918027
0.055759,8,19.957913
-0.943109,14,20.023769
-0.50634,15,20.097799
-0.029718,14,20.168869
-0.20745,4,20.188936
0.05575,9,20.236597
0.028597,6,20.266943
0.017779,3,20.28385
-0.931409,19,20.374867
-0.479116,7,20.407065
-0.656004,13,20.469972
-0.01,1,20.476917
-0.820577,18,20.562195
0.046349,4,20.582254
-0.01,1,20.588969
0.020067,4,20.610528
0.087091,9,20.656449
-0.347058,5,20.680935
-0.01,1,20.686543
-0.586222,3,20.702443
0.02419,3,20.718121
-0.006114,9,20.762758
-0.371291,8,20.802151
-0.85892,20,20.902584
-0.401532,2,20.913627
-1.16271,35,21.080169
0.132647,4,21.100049
0.043853,2,21.112677
-0.005005,15,21.187398
-0.016,2,21.197704
-0.459382,7,21.233142
0.035661,2,21.245197
-0.341879,5,21.272415
-0.01,1,21.27805
-0.484787,4,21.297382
-0.01,1,21.304199
-0.436312,7,21.33843
-0.01,1,21.343819
-0.01,1,21.349108
-0.372451,4,21.369729
-0.01,1,21.376591
-0.473708,2,21.385805
-0.01,1,21.39133
0.320474,8,21.431512
-0.754003,9,21.476571
-0.01,1,21.482029
0.177189,4,21.502164
-0.423826,7,21.538482
-0.392543,8,21.57885
0.021285,2,21.589045
-0.718771,16,21.663541
-0.01,1,21.670323
0.176999,8,21.709851
-0.549043,15,21.782607
-0.01,1,21.78799
-0.341734,9,21.833389
-0.01,1,21.838738
-0.198079,7,21.873492
0.039224,2,21.883223
-0.01,1,21.89
-0.01,1,21.896866
-0.79629,10,21.943751
-0.535164,6,21.973823
-0.33794,5,21.998891
-0.55324,4,22.017571
0.017867,4,22.038311
-0.01,1,22.043911
-0.326933,2,22.055717
-0.619862,12,22.114099
0.031878,6,22.143664
0.054625,3,22.160178
-0.893183,10,22.209169
0.010134,3,22.225494
-0.384823,3,22.240683
-0.489207,11,22.295329
-0.572017,8,22.335537
-0.562243,10,22.384039
