method,initial_length,final_length,best_length,relative_improvement,num_steps,runtime_sec,instance_id,num_nodes,distribution,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt,total_reward
nearest_neighbor,6.077062291344354,6.077062291344354,6.077062291344354,0.0,0,0.00015745987184345722,43,50,uniform,,,,,,
nearest_neighbor_two_opt,6.077062291344354,5.219210611510261,5.219210611510261,0.14116223245826237,9,0.014196616830304265,43,50,uniform,,,,,,
random_operator,6.077062291344354,5.644340552926816,5.644340552926816,0.07120574344512963,3,0.003235472133383155,43,50,uniform,1.0,1.0,1.0,0.0,0.0,
fixed_schedule,6.077062291344354,5.178321938369736,5.178321938369736,0.14789059415347877,29,0.04740227200090885,43,50,uniform,0.0,10.0,10.0,9.0,0.0,
nearest_neighbor,7.6876069056267715,7.6876069056267715,7.6876069056267715,0.0,0,0.00015666591934859753,44,50,uniform,,,,,,
nearest_neighbor_two_opt,7.6876069056267715,6.718383434468096,6.718383434468096,0.12607609663929015,10,0.015825971961021423,44,50,uniform,,,,,,
random_operator,7.6876069056267715,7.6876069056267715,7.6876069056267715,0.0,1,0.00012616487219929695,44,50,uniform,1.0,0.0,0.0,0.0,0.0,
fixed_schedule,7.6876069056267715,6.8472611394542415,6.8472611394542415,0.10931175026098924,13,0.020904206903651357,44,50,uniform,0.0,5.0,4.0,4.0,0.0,
nearest_neighbor,7.997448360080275,7.997448360080275,7.997448360080275,0.0,0,0.00014200503937900066,45,50,uniform,,,,,,
nearest_neighbor_two_opt,7.997448360080275,6.201682266054631,6.201682266054631,0.22454238066597773,13,0.020646571181714535,45,50,uniform,,,,,,
random_operator,7.997448360080275,7.6371136945670335,7.6371136945670335,0.045056204090278724,40,0.055402477039024234,45,50,uniform,1.0,10.0,12.0,8.0,9.0,
fixed_schedule,7.997448360080275,6.614508499371408,6.614508499371408,0.17292263712659794,16,0.025519239949062467,45,50,uniform,0.0,6.0,5.0,5.0,0.0,
nearest_neighbor,7.298183146167944,7.298183146167944,7.298183146167944,0.0,0,0.00013142102397978306,46,50,uniform,,,,,,
nearest_neighbor_two_opt,7.298183146167944,7.13565252615363,7.13565252615363,0.02227001114649389,5,0.008036594139412045,46,50,uniform,,,,,,
random_operator,7.298183146167944,7.0799999046014355,7.0799999046014355,0.029895555811184357,3,0.0034582822117954493,46,50,uniform,1.0,1.0,0.0,1.0,0.0,
fixed_schedule,7.298183146167944,6.63247859512166,6.63247859512166,0.09121510624131506,25,0.039794676937162876,46,50,uniform,0.0,9.0,8.0,8.0,0.0,
nearest_neighbor,8.035927399480435,8.035927399480435,8.035927399480435,0.0,0,0.0001464090310037136,47,50,uniform,,,,,,
nearest_neighbor_two_opt,8.035927399480435,6.524700765504549,6.524700765504549,0.18805877142115487,9,0.014249589992687106,47,50,uniform,,,,,,
random_operator,8.035927399480435,8.035927399480435,8.035927399480435,0.0,2,0.000992652028799057,47,50,uniform,1.0,0.0,0.0,0.0,1.0,
fixed_schedule,8.035927399480435,6.261099024698676,6.261099024698676,0.22086167365032586,25,0.03988420101813972,47,50,uniform,0.0,9.0,8.0,8.0,0.0,
nearest_neighbor,7.595843564584435,7.595843564584435,7.595843564584435,0.0,0,0.0001590049359947443,48,50,uniform,,,,,,
nearest_neighbor_two_opt,7.595843564584435,6.246427267324954,6.246427267324954,0.1776519336905679,12,0.018545632949098945,48,50,uniform,,,,,,
random_operator,7.595843564584435,7.192579375293966,7.192579375293966,0.05309011248871489,44,0.054836717899888754,48,50,uniform,1.0,11.0,10.0,5.0,17.0,
fixed_schedule,7.595843564584435,5.952539440648604,5.952539440648604,0.21634254444071552,25,0.03919360903091729,48,50,uniform,0.0,9.0,8.0,8.0,0.0,
nearest_neighbor,6.741127512931797,6.741127512931797,6.741127512931797,0.0,0,0.00013668998144567013,49,50,uniform,,,,,,
nearest_neighbor_two_opt,6.741127512931797,6.213559558128755,6.213559558128755,0.07826108522513271,4,0.006363387918099761,49,50,uniform,,,,,,
random_operator,6.741127512931797,6.570760562562651,6.570760562562651,0.02527276780365365,8,0.010188244050368667,49,50,uniform,1.0,3.0,3.0,0.0,1.0,
fixed_schedule,6.741127512931797,6.002346836819989,6.002346836819989,0.10959304280991178,13,0.020611180923879147,49,50,uniform,0.0,5.0,4.0,4.0,0.0,
nearest_neighbor,6.951233048955663,6.951233048955663,6.951233048955663,0.0,0,0.00013958499766886234,50,50,uniform,,,,,,
nearest_neighbor_two_opt,6.951233048955663,6.400595102588186,6.400595102588186,0.0792144274964574,7,0.010994549142196774,50,50,uniform,,,,,,
random_operator,6.951233048955663,6.887132399293202,6.887132399293202,0.009221479011136144,34,0.04620979493483901,50,50,uniform,1.0,8.0,11.0,6.0,8.0,
fixed_schedule,6.951233048955663,6.262966840915496,6.262966840915496,0.09901354237340243,17,0.026759736938402057,50,50,uniform,0.0,6.0,6.0,5.0,0.0,
dqn_quality,6.367614012904135,5.691544397849246,5.691544397849246,0.10617314643833879,100,0.4949582980480045,1,50,uniform,0.0,3.0,49.0,48.0,0.0,-0.07485264315363459
dqn_quality,6.419015119005253,6.082381653312755,6.082381653312755,0.052443164481074715,100,0.4420833569020033,2,50,uniform,0.0,10.0,41.0,49.0,0.0,-0.13037093408724595
dqn_quality,6.742059974447586,5.651985025173032,5.651985025173032,0.16168277253627805,100,0.44979147403500974,3,50,uniform,0.0,29.0,0.0,71.0,0.0,-0.011666160064742914
dqn_quality,6.650139899757459,5.993124296171053,5.993124296171053,0.09879726043212542,100,0.4362755320034921,4,50,uniform,0.0,4.0,39.0,57.0,0.0,-0.08469453592437116
dqn_quality,6.360241338546945,5.679647470288321,5.679647470288321,0.10700755396399973,100,0.44299768120981753,5,50,uniform,0.0,12.0,53.0,35.0,0.0,-0.06731455591748418
dqn_quality,6.816703090377767,5.985948773371583,5.985948773371583,0.12187039775560257,100,0.4481616849079728,6,50,uniform,0.0,10.0,46.0,44.0,0.0,-0.0552525540241857
dqn_quality,6.914868469247258,6.532661759950595,6.532661759950595,0.05527317128250014,100,0.4384498579893261,7,50,uniform,0.0,3.0,39.0,58.0,0.0,-0.12731839472461576
dqn_quality,6.682238029947119,5.936153834591696,5.936153834591696,0.11165184359069102,100,0.44199573807418346,8,50,uniform,0.0,18.0,18.0,64.0,0.0,-0.06582849475820489
dqn_quality,6.4524584949774635,5.778472270428981,5.778472270428981,0.10445417433883646,100,0.44373519509099424,9,50,uniform,0.0,7.0,0.0,93.0,0.0,-0.07918347878526769
dqn_quality,7.1817885855753225,6.1330535300359905,6.1330535300359905,0.14602700191505558,100,0.4331456278450787,10,50,uniform,0.0,27.0,37.0,36.0,0.0,-0.026195066162085015
dqn_quality,7.770545034198237,6.162298788567761,6.162298788567761,0.2069669808942063,49,0.2128732989076525,11,50,uniform,1.0,3.0,2.0,43.0,0.0,0.3586466414015494
dqn_quality,6.249301619559028,5.629610331312881,5.629610331312881,0.09916168653256248,100,0.44320228416472673,12,50,uniform,0.0,21.0,0.0,79.0,0.0,-0.08328252590692346
dqn_quality,7.185660825406796,6.100496377679408,6.100496377679408,0.15101804469959154,100,0.43313320400193334,13,50,uniform,0.0,9.0,22.0,69.0,0.0,-0.018752497280341028
dqn_quality,7.283988500271708,6.261110630996294,6.261110630996294,0.14042826526116275,100,0.43579588597640395,14,50,uniform,0.0,14.0,17.0,69.0,0.0,-0.03436604481194655
dqn_quality,8.155379635750325,6.266662768628474,6.266662768628474,0.23159153239689526,36,0.15563750709407032,15,50,uniform,1.0,4.0,1.0,30.0,0.0,0.45170626407348435
dqn_quality,5.9892138025044765,5.20051227692646,5.20051227692646,0.13168698790619385,100,0.43532295897603035,16,50,uniform,0.0,25.0,5.0,70.0,0.0,-0.048140873574954945
dqn_quality,6.799755701302437,5.52815359598624,5.52815359598624,0.1870070280719986,47,0.2042191419750452,17,50,uniform,1.0,2.0,0.0,44.0,0.0,0.31738747811384677
dqn_quality,6.792871129343707,6.730206654089649,6.730206654089649,0.009225035196584465,100,0.44434328004717827,18,50,uniform,0.0,0.0,28.0,72.0,0.0,-0.18775811401302656
dqn_quality,7.462353189792149,6.6224978535943615,6.6224978535943615,0.11254564275336591,100,0.43656187294982374,19,50,uniform,0.0,2.0,40.0,58.0,0.0,-0.07009436370430308
dqn_quality,6.76074422434973,5.86384761045016,5.86384761045016,0.13266240877287983,100,0.44951295014470816,20,50,uniform,0.0,6.0,1.0,93.0,0.0,-0.046041811693513957
dqn_quality,6.8431227280392655,5.573723314359166,5.573723314359166,0.1855000215733112,59,0.27130674617365,21,50,uniform,1.0,5.0,2.0,51.0,0.0,0.2996262812164776
dqn_quality,7.801630836649677,6.123652581086439,6.123652581086439,0.21508044801102466,30,0.129690817091614,22,50,uniform,1.0,3.0,0.0,26.0,0.0,0.4087865188174624
dqn_quality,6.1648138230214595,5.540193124038376,5.540193124038376,0.10132028588609478,100,0.4398275918792933,23,50,uniform,0.0,27.0,17.0,56.0,0.0,-0.07811350576717031
dqn_quality,8.056586633677405,6.0635440370382865,6.0635440370382865,0.24738052071679892,33,0.14380916114896536,24,50,uniform,1.0,7.0,0.0,25.0,0.0,0.4885011045731982
dqn_quality,8.089290998829787,6.228657931896855,6.228657931896855,0.23001188450286866,31,0.1333645461127162,25,50,uniform,1.0,4.0,0.0,26.0,0.0,0.4599401228664265
dqn_quality,6.604917963604593,6.130324006382666,6.130324006382666,0.0718546331441368,100,0.4554536701180041,26,50,uniform,0.0,8.0,0.0,92.0,0.0,-0.11479869750691143
dqn_quality,5.5221379327279765,5.15523821691112,5.15523821691112,0.06644160654560206,100,0.44037234294228256,27,50,uniform,0.0,2.0,45.0,53.0,0.0,-0.1240648509910606
dqn_quality,6.005203160409832,5.660733932128571,5.660733932128571,0.05736179427737329,100,0.4296510999556631,28,50,uniform,0.0,4.0,45.0,51.0,0.0,-0.13118555908240898
dqn_quality,7.386728990809955,6.409201886080116,6.409201886080116,0.1323355853377061,100,0.43264828994870186,29,50,uniform,0.0,43.0,16.0,41.0,0.0,-0.04240284600447591
dqn_quality,6.891735029841009,6.0502665803026145,6.0502665803026145,0.12209820109085176,100,0.4400084351655096,30,50,uniform,0.0,11.0,0.0,89.0,0.0,-0.05606143144545062
dqn_quality,7.801500117102446,6.316706670722689,6.316706670722689,0.19032153099950525,53,0.22924564918503165,31,50,uniform,1.0,6.0,5.0,41.0,0.0,0.31578024690684464
dqn_quality,7.166341339830554,6.2610331399730255,6.2610331399730255,0.12632780897915397,100,0.4457185610663146,32,50,uniform,0.0,24.0,13.0,63.0,0.0,-0.0507416921821266
dqn_quality,7.024932836579338,5.931669578055981,5.931669578055981,0.1556261510189329,100,0.45017911097966135,33,50,uniform,0.0,15.0,6.0,79.0,0.0,-0.018156371690238038
dqn_quality,6.749194172343251,5.438220693825561,5.438220693825561,0.19424148202607328,100,0.43118715519085526,34,50,uniform,0.0,18.0,29.0,53.0,0.0,0.036676333325529685
dqn_quality,7.1529269575198136,6.39638587152662,6.39638587152662,0.10576664496732319,100,0.4343174390960485,35,50,uniform,0.0,3.0,44.0,53.0,0.0,-0.0742727089240684
dqn_quality,6.4627061067320835,5.642248987402282,5.642248987402282,0.12695256534644925,100,0.4517134130001068,36,50,uniform,0.0,7.0,0.0,93.0,0.0,-0.047730731573281976
dqn_quality,6.427432418238643,5.510087829253778,5.510087829253778,0.1427233348081242,100,0.45343542587943375,37,50,uniform,0.0,40.0,0.0,60.0,0.0,-0.03435941280853647
dqn_quality,6.640142033344044,5.558150179351052,5.558150179351052,0.16294709489039197,100,0.4358054280746728,38,50,uniform,0.0,8.0,21.0,71.0,0.0,-0.006847198693678391
dqn_quality,6.45069359354844,5.489636657768786,5.489636657768786,0.14898505437319792,100,0.43367836182005703,39,50,uniform,0.0,32.0,24.0,44.0,0.0,-0.02458147661665977
dqn_quality,7.308393997388081,5.921279864088664,5.921279864088664,0.18979739376327448,100,0.44658386311493814,40,50,uniform,0.0,6.0,0.0,94.0,0.0,0.022011609166196905
dqn_quality,6.928754837252929,6.388505748331359,6.388505748331359,0.07797203128286245,100,0.43417066102847457,41,50,uniform,0.0,3.0,45.0,52.0,0.0,-0.11248943942882464
dqn_quality,7.126168975996055,5.737988904350224,5.737988904350224,0.19480033048918824,100,0.4448949140496552,42,50,uniform,0.0,7.0,0.0,93.0,0.0,0.031059969125229347
dqn_quality,6.077062291344354,4.983078791286864,4.983078791286864,0.18001847728559003,100,0.46036385698243976,43,50,uniform,0.0,3.0,0.0,97.0,0.0,0.010584764831918758
dqn_quality,7.6876069056267715,6.229117345507252,6.229117345507252,0.18971958088179705,52,0.22510305396281183,44,50,uniform,1.0,6.0,0.0,45.0,0.0,0.31598632682021077
dqn_quality,7.997448360080275,6.261950659664181,6.261950659664181,0.2170064278350244,48,0.23244558018632233,45,50,uniform,1.0,7.0,0.0,40.0,0.0,0.387693035155955
dqn_quality,7.298183146167944,6.554956893081512,6.554956893081512,0.1018371611401227,100,0.43068450107239187,46,50,uniform,0.0,15.0,44.0,41.0,0.0,-0.07743345045602477
dqn_quality,8.035927399480435,6.201318025674212,6.201318025674212,0.2283008895681214,42,0.18141084513626993,47,50,uniform,1.0,8.0,0.0,33.0,0.0,0.4282625621842755
dqn_quality,7.595843564584435,5.960969725398379,5.960969725398379,0.2152326894683091,57,0.2466930339578539,48,50,uniform,1.0,8.0,0.0,48.0,0.0,0.3706439137428275
dqn_quality,6.741127512931797,5.897157585616707,5.897157585616707,0.12519714627798775,100,0.4340501439291984,49,50,uniform,0.0,18.0,27.0,55.0,0.0,-0.05625522464866474
dqn_quality,6.951233048955663,6.199281202678309,6.199281202678309,0.10817531810278257,100,0.460649698972702,50,50,uniform,0.0,26.0,0.0,74.0,0.0,-0.07030291332307129
dqn_efficiency,6.367614012904135,5.792000101544554,5.792000101544554,0.09039711109892729,13,0.05886838282458484,1,50,uniform,1.0,6.0,0.0,6.0,0.0,0.15498685477272572
dqn_efficiency,6.419015119005253,6.0163754086391865,6.0163754086391865,0.06272608848886195,51,0.2224845550954342,2,50,uniform,1.0,15.0,0.0,35.0,0.0,-0.11850484614549599
dqn_efficiency,6.742059974447586,5.64479388121286,5.64479388121286,0.16274938184966695,18,0.07543686311692,3,50,uniform,1.0,13.0,0.0,4.0,0.0,0.2991802110066418
dqn_efficiency,6.650139899757459,6.1230501230058465,6.1230501230058465,0.07925995312832987,16,0.06856771395541728,4,50,uniform,1.0,3.0,0.0,12.0,0.0,0.11069024024932012
dqn_efficiency,6.360241338546945,5.877686254520881,5.877686254520881,0.07587056187655748,15,0.06326527707278728,5,50,uniform,1.0,5.0,0.0,9.0,0.0,0.10724890952601374
dqn_efficiency,6.816703090377767,6.40908976073104,6.40908976073104,0.05979625696505702,16,0.07045510411262512,6,50,uniform,1.0,1.0,0.0,14.0,0.0,0.05869071738769675
dqn_efficiency,6.914868469247258,6.409183836483735,6.409183836483735,0.07313004361723904,29,0.12452571885660291,7,50,uniform,1.0,9.0,0.0,19.0,0.0,0.021028023763716125
dqn_efficiency,6.682238029947119,5.89813973598096,5.89813973598096,0.11734067096265414,37,0.16157113783992827,8,50,uniform,1.0,12.0,0.0,24.0,0.0,0.08497160390735
dqn_efficiency,6.4524584949774635,5.833773460115112,5.833773460115112,0.09588361325282918,29,0.12312065996229649,9,50,uniform,1.0,17.0,0.0,11.0,0.0,0.07101646172794635
dqn_efficiency,7.1817885855753225,6.375727330107535,6.375727330107535,0.11223683987116638,10,0.041945527074858546,10,50,uniform,1.0,5.0,0.0,4.0,0.0,0.22352773620446886
dqn_efficiency,7.770545034198237,6.45582946917789,6.45582946917789,0.16919219427135068,17,0.07329036318697035,11,50,uniform,1.0,10.0,0.0,6.0,0.0,0.3295379344505035
dqn_efficiency,6.249301619559028,5.62961033131288,5.62961033131288,0.09916168653256263,38,0.17114611086435616,12,50,uniform,1.0,15.0,0.0,22.0,0.0,0.01698384022656621
dqn_efficiency,7.185660825406796,6.371005856509191,6.371005856509191,0.11337231031239016,20,0.08534168894402683,13,50,uniform,1.0,13.0,0.0,6.0,0.0,0.18530993796814094
dqn_efficiency,7.283988500271708,6.312395569910156,6.312395569910156,0.13338748823193639,14,0.058547768043354154,14,50,uniform,1.0,10.0,0.0,3.0,0.0,0.24697269955558032
dqn_efficiency,8.155379635750325,6.218820663658693,6.218820663658693,0.2374578570937932,18,0.07791891787201166,15,50,uniform,1.0,8.0,0.0,9.0,0.0,0.47642696939633294
dqn_efficiency,5.9892138025044765,5.214827168544814,5.214827168544814,0.12929687593317196,14,0.06052292603999376,16,50,uniform,1.0,8.0,0.0,5.0,0.0,0.24392750047894662
dqn_efficiency,6.799755701302437,5.7327389785640985,5.7327389785640985,0.15691986147884107,14,0.06004701415076852,17,50,uniform,1.0,9.0,0.0,4.0,0.0,0.30807316460478695
dqn_efficiency,6.792871129343707,6.730206654089649,6.730206654089649,0.009225035196584465,28,0.12358512217178941,18,50,uniform,1.0,0.0,0.0,27.0,0.0,-0.13318622367774066
dqn_efficiency,7.462353189792149,6.555489185339641,6.555489185339641,0.12152520543962184,14,0.05943336081691086,19,50,uniform,1.0,5.0,0.0,8.0,0.0,0.21040674913358567
dqn_efficiency,6.76074422434973,5.931858613737123,5.931858613737123,0.12260271696528073,24,0.1025052450131625,20,50,uniform,1.0,15.0,0.0,8.0,0.0,0.16823966003145208
dqn_efficiency,6.8431227280392655,6.117517717440791,6.117517717440791,0.10603419512342718,19,0.08088432205840945,21,50,uniform,1.0,10.0,0.0,8.0,0.0,0.16217381638117867
dqn_efficiency,7.801630836649677,6.714805330450169,6.714805330450169,0.1393074767257551,11,0.04562054085545242,22,50,uniform,1.0,9.0,0.0,1.0,0.0,0.2828791685726529
