method,initial_length,final_length,best_length,relative_improvement,num_steps,runtime_sec,instance_id,num_nodes,distribution,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt,total_reward,eval_distribution,eval_num_nodes
nearest_neighbor_two_opt,9.769253239951965,9.536169735266789,9.536169735266789,0.02385888654538779,3,0.006318612024188042,14,100,uniform,,,,,,,uniform,100
random_operator,9.769253239951965,9.769253239951965,9.769253239951965,0.0,3,0.003426749026402831,14,100,uniform,1.0,0.0,1.0,0.0,1.0,,uniform,100
fixed_schedule,9.769253239951965,9.376080357911254,9.376080357911254,0.04024595047171116,18,0.03750808909535408,14,100,uniform,0.0,6.0,6.0,6.0,0.0,,uniform,100
nearest_neighbor,9.381931383244927,9.381931383244927,9.381931383244927,0.0,0,0.00042036804370582104,15,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.381931383244927,8.926788275785048,8.926788275785048,0.04851273036090556,6,0.011934820096939802,15,100,uniform,,,,,,,uniform,100
random_operator,9.381931383244927,9.170505512536915,9.170505512536915,0.022535431359644705,6,0.009711164981126785,15,100,uniform,1.0,1.0,2.0,1.0,1.0,,uniform,100
fixed_schedule,9.381931383244927,8.789674456751506,8.789674456751506,0.06312739907170134,21,0.04382273508235812,15,100,uniform,0.0,7.0,7.0,7.0,0.0,,uniform,100
nearest_neighbor,10.854784114700236,10.854784114700236,10.854784114700236,0.0,0,0.0004219410475343466,16,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,10.854784114700236,10.780391220928678,10.780391220928678,0.006853465991166982,2,0.004337992053478956,16,100,uniform,,,,,,,uniform,100
random_operator,10.854784114700236,10.854784114700236,10.854784114700236,0.0,10,0.017805264797061682,16,100,uniform,1.0,2.0,2.0,3.0,2.0,,uniform,100
fixed_schedule,10.854784114700236,9.820618235608228,9.820618235608228,0.09527281870963007,18,0.03817167389206588,16,100,uniform,0.0,6.0,6.0,6.0,0.0,,uniform,100
nearest_neighbor,9.578595091497682,9.578595091497682,9.578595091497682,0.0,0,0.00043430598452687263,17,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.578595091497682,9.578595091497682,9.578595091497682,0.0,1,0.002370828064158559,17,100,uniform,,,,,,,uniform,100
random_operator,9.578595091497682,9.250246662577004,9.250246662577004,0.03427939335405595,77,0.14306318201124668,17,100,uniform,1.0,26.0,21.0,16.0,13.0,,uniform,100
fixed_schedule,9.578595091497682,9.440107859797191,9.440107859797191,0.014457989963832765,7,0.014695470919832587,17,100,uniform,0.0,3.0,2.0,2.0,0.0,,uniform,100
nearest_neighbor,9.745921578404625,9.745921578404625,9.745921578404625,0.0,0,0.00042730988934636116,18,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.745921578404625,9.289840089650045,9.289840089650045,0.04679716382750109,9,0.017777656903490424,18,100,uniform,,,,,,,uniform,100
random_operator,9.745921578404625,9.61028500239555,9.61028500239555,0.013917265280445467,7,0.012353755999356508,18,100,uniform,1.0,1.0,4.0,1.0,0.0,,uniform,100
fixed_schedule,9.745921578404625,9.218846621247812,9.218846621247812,0.05408159227596551,13,0.02725962596014142,18,100,uniform,0.0,5.0,4.0,4.0,0.0,,uniform,100
nearest_neighbor,10.009312600351723,10.009312600351723,10.009312600351723,0.0,0,0.0004515319596976042,19,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,10.009312600351723,10.002576918587367,10.002576918587367,0.0006729414929172386,2,0.004503530915826559,19,100,uniform,,,,,,,uniform,100
random_operator,10.009312600351723,9.726861191495129,9.726861191495129,0.028218861787438786,7,0.013988954946398735,19,100,uniform,1.0,1.0,2.0,3.0,0.0,,uniform,100
fixed_schedule,10.009312600351723,9.485205892009459,9.485205892009459,0.052361908281678374,19,0.04202998895198107,19,100,uniform,0.0,7.0,6.0,6.0,0.0,,uniform,100
nearest_neighbor,10.07654677209481,10.07654677209481,10.07654677209481,0.0,0,0.00042442698031663895,20,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,10.07654677209481,9.564629132199123,9.564629132199123,0.05080288430887367,13,0.026042872108519077,20,100,uniform,,,,,,,uniform,100
random_operator,10.07654677209481,9.873223969101325,9.873223969101325,0.020177825557913462,26,0.04809415200725198,20,100,uniform,1.0,4.0,8.0,8.0,5.0,,uniform,100
fixed_schedule,10.07654677209481,9.020244480017494,9.020244480017494,0.10482780618877845,27,0.0597353670746088,20,100,uniform,0.0,9.0,9.0,9.0,0.0,,uniform,100
nearest_neighbor,9.723780144369817,9.723780144369817,9.723780144369817,0.0,0,0.0004182111006230116,21,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.723780144369817,9.657585058971694,9.657585058971694,0.006807546490697913,2,0.0043223409447818995,21,100,uniform,,,,,,,uniform,100
random_operator,9.723780144369817,9.723780144369817,9.723780144369817,0.0,35,0.05956684495322406,21,100,uniform,1.0,6.0,10.0,7.0,11.0,,uniform,100
fixed_schedule,9.723780144369817,8.876642952652805,8.876642952652805,0.0871201507170557,22,0.04544438607990742,21,100,uniform,0.0,8.0,7.0,7.0,0.0,,uniform,100
nearest_neighbor,10.18303386199413,10.18303386199413,10.18303386199413,0.0,0,0.00043250597082078457,22,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,10.18303386199413,9.405527518406414,9.405527518406414,0.07635311382883464,12,0.023600093787536025,22,100,uniform,,,,,,,uniform,100
random_operator,10.18303386199413,10.056976601863065,10.056976601863065,0.012379145728027554,5,0.00728876399807632,22,100,uniform,1.0,2.0,1.0,0.0,1.0,,uniform,100
fixed_schedule,10.18303386199413,8.040637463733665,8.040637463733665,0.210388812145315,56,0.1149885670747608,22,100,uniform,0.0,19.0,19.0,18.0,0.0,,uniform,100
nearest_neighbor,8.398328635956876,8.398328635956876,8.398328635956876,0.0,0,0.0004172062035650015,23,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,8.398328635956876,8.306557405253438,8.306557405253438,0.010927320742192185,4,0.00814323895610869,23,100,uniform,,,,,,,uniform,100
random_operator,8.398328635956876,8.350691556507792,8.350691556507792,0.005672209497152654,12,0.017401020042598248,23,100,uniform,1.0,4.0,2.0,0.0,5.0,,uniform,100
fixed_schedule,8.398328635956876,8.319059744555767,8.319059744555767,0.009438650812225183,7,0.014783625025302172,23,100,uniform,0.0,3.0,2.0,2.0,0.0,,uniform,100
nearest_neighbor,9.547131405782524,9.547131405782524,9.547131405782524,0.0,0,0.0004340310115367174,24,100,uniform,,,,,,,uniform,100
