#{"t_start": 1779103820.1393487, "env_id": "None"}
r,l,t
0.190482,6,225.912649
0.376337,10,226.239396
0.162615,2,226.336654
-0.02,1,226.342273
0.182968,9,226.538136
0.208181,11,226.777603
0.282949,27,227.117942
0.108336,10,227.57674
0.21542,8,227.864141
0.082163,9,228.07
0.23563,4,228.182131
0.498944,2,228.34867
0.005966,10,228.584507
0.405069,13,228.971096
-0.064286,28,229.869864
0.290188,10,230.142762
0.170933,8,230.414689
-0.02,1,230.420227
0.361622,5,230.580101
0.241059,6,230.854762
-0.017966,13,231.225161
-0.137281,7,231.437942
0.220372,5,231.586229
-0.02,1,231.592844
0.454111,20,232.141242
-0.02,1,232.146951
-0.02,1,232.152395
0.182312,19,232.372024
0.142503,10,232.530215
0.287584,3,232.657706
-0.072115,30,233.046534
-0.179362,17,233.381695
-0.079863,30,234.311094
0.260694,7,234.551508
0.078056,8,234.793921
-0.091094,30,235.204902
0.290763,5,235.386278
0.056122,7,235.659414
-0.036928,28,236.20753
0.265227,17,236.726805
-0.022589,21,237.210899
-0.132057,15,237.483987
0.207336,12,237.840207
0.283211,4,238.037451
-0.02,1,238.044479
-0.028,2,238.056334
-0.327608,30,238.606282
0.065974,3,238.621667
0.276018,15,238.949355
0.051128,26,239.581226
-0.40542,30,240.083401
-0.02,1,240.088811
-0.025613,26,240.615203
0.133735,17,240.877711
0.050487,11,241.145469
0.289654,13,241.46946
-0.02,1,241.476323
0.074971,21,241.970946
0.159164,15,242.193894
0.159136,11,242.420288
0.019695,2,242.43161
0.19606,28,242.970261
0.24589,4,243.152829
0.250123,10,243.476922
0.065597,25,244.114548
-0.2797,30,244.781448
-0.123737,30,245.273168
0.432536,6,245.488955
-0.077567,23,245.829841
0.211254,7,246.013995
-0.094366,15,246.295326
0.001177,2,246.30605
0.194301,6,246.422237
-0.21533,30,246.837906
0.249232,18,247.335974
0.215088,15,247.786057
0.089132,28,248.208528
0.420106,5,248.41019
0.18653,13,248.780767
0.072555,22,249.350179
0.147354,2,249.364415
0.250258,5,249.509227
0.218807,11,249.831046
0.396116,5,249.960864
0.202494,14,250.423752
0.116521,6,250.597617
0.006324,15,251.035813
0.435609,3,251.216176
-0.02,1,251.223284
0.316115,9,251.424707
0.069344,8,251.66317
-0.02,1,251.668435
-0.083212,30,252.127845
-0.200757,30,252.74998
-0.207255,30,253.655678
0.099232,5,253.896409
-0.330314,30,254.994556
0.395172,13,255.197654
0.246668,12,255.47391
0.273885,2,255.617865
0.268193,4,255.825269
0.237756,18,256.176529
-0.047926,30,256.520866
0.330292,5,256.675509
-0.02115,22,257.271272
0.409651,9,257.420213
-0.253107,30,258.07176
-0.053163,26,258.617089
0.528563,5,258.781555
0.206469,12,259.17083
-0.039541,28,259.786353
0.347546,8,260.105201
0.33244,11,260.386611
-0.02,1,260.394349
0.283315,5,260.527242
0.011064,2,260.537383
0.130329,16,261.033432
0.396379,6,261.139885
-0.02,1,261.14511
0.425451,4,261.260939
0.296173,8,261.47822
0.03379,3,261.494639
-0.174993,22,262.364961
0.272645,7,262.628469
